0;0.32;0.248;0.0032
0.002;0.32;0.28;0.0032
0.004;0.4;0.336;0.004
0.006;0.48;0.376;0.0048
0.008;0.56;0.44;0.0056
0.01;0.64;0.488;0.0064
0.012;0.64;0.536;0.0064
0.014;0.64;0.576;0.0064
0.016;0.8;0.608;0.008
0.018;0.8;0.616;0.008
0.02;0.96;0.608;0.0096
0.022;0.88;0.528;0.0088
0.024;0.96;0.328;0.0096
0.026;1.12;0.176;0.0112
0.028;1.12;0.096;0.0112
0.03;1.28;0.072;0.0128
0.032;1.2;0.064;0.012
0.034;1.36;0.056;0.0136
0.036;1.36;0.056;0.0136
0.038;1.44;0.048;0.0144
0.04;1.52;0.056;0.0152
0.042;1.52;0.056;0.0152
0.044;1.6;0.048;0.016
0.046;1.68;0.048;0.0168
0.048;1.76;0.048;0.0176
0.05;1.84;0.048;0.0184
0.052;1.92;0.048;0.0192
0.054;1.92;0.048;0.0192
0.056;2;0.048;0.02
0.058;2;0.048;0.02
0.06;2.16;0.048;0.0216
0.062;2.08;0.048;0.0208
0.064;2.24;0.048;0.0224
0.066;2.24;0.048;0.0224
0.068;2.24;0.048;0.0224
0.07;2.4;0.048;0.024
0.072;2.4;0.04;0.024
0.074;2.48;0.048;0.0248
0.076;2.56;0.048;0.0256
0.078;2.64;0.048;0.0264
0.08;2.64;0.048;0.0264
0.082;2.72;0.04;0.0272
0.084;2.72;0.04;0.0272
0.086;2.8;0.048;0.028
0.088;2.88;0.048;0.0288
0.09;2.88;0.048;0.0288
0.092;2.96;0.04;0.0296
0.094;3.04;0.04;0.0304
0.096;3.04;0.04;0.0304
0.098;3.12;0.04;0.0312
0.1;3.12;0.048;0.0312
0.102;3.12;0.04;0.0312
0.104;3.28;0.04;0.0328
0.106;3.28;0.04;0.0328
0.108;3.36;0.04;0.0336
0.11;3.44;0.04;0.0344
0.112;3.44;0.04;0.0344
0.114;3.52;0.032;0.0352
0.116;3.52;0.04;0.0352
0.118;3.52;0.04;0.0352
0.12;3.6;0.04;0.036
0.122;3.68;0.04;0.0368
0.124;3.76;0.04;0.0376
0.126;3.76;0.04;0.0376
0.128;3.84;0.032;0.0384
0.13;3.84;0.04;0.0384
0.132;3.84;0.04;0.0384
0.134;3.92;0.048;0.0392
0.136;4;0.032;0.04
0.138;4;0.032;0.04
0.14;4.08;0.04;0.0408
0.142;4.08;0.04;0.0408
0.144;4.16;0.04;0.0416
0.146;4.16;0.032;0.0416
0.148;4.24;0.04;0.0424
0.15;4.24;0.032;0.0424
0.152;4.32;0.032;0.0432
0.154;4.32;0.032;0.0432
0.156;4.4;0.032;0.044
0.158;4.4;0.032;0.044
0.16;4.4;0.04;0.044
0.162;4.48;0.032;0.0448
0.164;4.48;0.032;0.0448
0.166;4.48;0.032;0.0448
0.168;4.56;0.024;0.0456
0.17;4.56;0.032;0.0456
0.172;4.56;0.032;0.0456
0.174;4.64;0.032;0.0464
0.176;4.64;0.032;0.0464
0.178;4.64;0.032;0.0464
0.18;4.64;0.032;0.0464
0.182;4.72;0.032;0.0472
0.184;4.72;0.024;0.0472
0.186;4.72;0.024;0.0472
0.188;4.8;0.024;0.048
0.19;4.8;0.024;0.048
0.192;4.8;0.024;0.048
0.194;4.8;0.024;0.048
0.196;4.88;0.024;0.0488
0.198;4.88;0.024;0.0488
0.2;4.88;0.024;0.0488
0.202;4.96;0.032;0.0496
0.204;4.88;0.032;0.0488
0.206;4.96;0.024;0.0496
0.208;4.96;0.024;0.0496
0.21;4.96;0.024;0.0496
0.212;4.96;0.016;0.0496
